Package |	License	|Source of License Information|	Comments|	License/Copyright Links/References
libpng12-0 |	BSD-3-Clause	|WICC4D|	part of libpng - BSD-2-Clause or BSD-3-Clause or BSD-4-Clause as per WICC4d|	NA
libpoppler46 |	GPL-2	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/universe/p/poppler-sharp/poppler-sharp_0.0.3-4/copyright
libpotrace0 |	GPL-2	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/p/potrace/potrace_1.13-2/copyright
libpsl0 |	MIT-Equivalent	|WICC4D|	NA|	Part of: libpsl
libptexenc1 |	     LaTeX Project Public License, GPL-2	|NA|	part of texlive|	NA
libpthread-stubs0-dev |	MIT	|openhub.net|	NA|	https://www.openhub.net/p/libpthread-stubs 
libpython2.7-minimal |	Apache-2.0	|WICC4D|	part of python|	NA
libpython2.7-stdlib |	Apache-2.0	|WICC4D|	part of python|	NA
libpython-stdlib |	 MIT,Python-2.0	|WICC4D CLI|	NA|	NA
libruby2.3 |	BSD-3-Clause,MIT,Ruby,Zlib	|WICC4D CLI|	NA|	NA
libsigsegv2 |	GPL-2	|WICC4D|	NA|	NA
libsm6-dev |	MIT	|WICC4D|	part of libsm |	NA
libssl1.0.0 |	BSD-4-Clause	|WICC4D|	part of openssl|	NA
libssl1.0.0  |	BSD-4-Clause	|WICC4D|	part of openssl|	NA
libssl-dev |	BSD-Equivalent	|WICC4D|	NA|	Part of: openssl
libssl-doc |	 OpenSSL	|WICC4D|	NA|	NA
libsynctex1 |	 MIT	|WICC4D CLI|	NA|	NA
libtcl8.6 |	 BSD-4-Clause	|WICC4D CLI|	NA|	NA
libthai0 |	LGPL-2.1+	|ubuntu.com|	part of libthai|	http://changelogs.ubuntu.com/changelogs/pool/main/libt/libthai/libthai_0.1.24-2/copyright
libthai-data |	LGPL 2.1+, GPL 2+	|ubuntu.com|	part of libthai|	NA
libtiff5-dev |	MIT	|WICC4D|	part of libtiff |	NA
libtimedate-perl |	Artistic or GPL-1+	|ubuntu.com|	Part of timedate|	http://changelogs.ubuntu.com/changelogs/pool/main/libt/libtimedate-perl/libtimedate-perl_2.3000-2/copyright
libtinfo-dev |	MIT, Apache 2.0	|openhub.net, source code|	Ubuntu copyright file does not have license information.This is the Debian prepackaged version of the ncurses library and terminfo utilities. Ncurses also shows up on WICC4D. Referred to source code for terminfo license https://github.com/nhooyr/terminfo/blob/master/LICENSE|	https://www.openhub.net/p/ncurses
libtk8.6 |	Unique	|WICC4D|	part of Tcl-Tk|	NA
libtool |	GPL-2.0	|WICC4D|	NA|	NA
libubsan0 |	GPL-3+	|openhub.net|	Part of gcc-5 - GNU Compiler Collection|	https://www.openhub.net/p/gcc
libx11-6 |	MIT	|WICC4D CLI|	NA|	NA
libx11-data |	MIT	|WICC4D CLI|	NA|	NA
libx11-dev |	MIT	|WICC4D CLI|	NA|	NA
libx11-doc |	MIT	|WICC4D CLI|	NA|	NA
libxau6 |	MIT	|WICC4D|	part of libxau|	NA
libxau-dev |	MIT	|WICC4D|	part of libxau|	NA
libxaw7-dev |	 MIT	|WICC4D CLI|	NA|	NA
libxcb1 |	MIT	|WICC4D CLI|	NA|	NA
libxcb1-dev |	MIT	|WICC4D CLI|	NA|	NA
libxcb-render0 |	MIT	|WICC4D|	part of libxcb|	NA
libxcb-shm0 |	MIT	|WICC4D|	part of libxcb|	NA
libxcb-shm0-dev |	 MIT	|WICC4D CLI|	NA|	NA
libxcomposite1 |	 MIT	|WICC4D CLI|	NA|	NA
libxcursor1 |	MIT	|openhub.net|	Under xorg - https://cgit.freedesktop.org/ |	https://www.openhub.net/p/x
libxdamage1 |	MIT	|openhub.net|	Under xorg - https://cgit.freedesktop.org/ |	https://www.openhub.net/p/x
libxdmcp6 |	MIT	|WICC4D|	part of libxdmcp |	NA
libxdmcp-dev |	MIT	|WICC4D CLI|	NA|	NA
libxext6 |	MIT	|WICC4D|	part of libxext |	NA
libxext-dev |	 MIT	|WICC4D CLI|	NA|	NA
libxfixes3 |	 MIT	|NA|	NA|	NA
libxft2 |	Python -2	|WICC4D|	part of libxft|	NA
libxi6 |	 MIT	|WICC4D CLI|	NA|	NA
libxinerama1 |	 MIT	|NA|	NA|	NA
libxkbfile1 |	MIT-Equivalent	|WICC4D|	NA|	Part of: libxkbfile
libxkbfile-dev |	MIT-Equivalent	|WICC4D|	NA|	Part of: libxkbfile
libxml2 |	MIT	|WICC4D|	NA|	NA
libxmu6 |	 MIT	|NA|	NA|	NA
libxrandr2 |	Python-2.0	|WICC4D|	libxrandr on WICC4D|	NA
libxrender1 |	Python-2.0	|WICC4D|	libxrender on WICC4D|	NA
libxrender-dev |	Python-2.0	|WICC4D|	libxrender on WICC4D|	NA
libxslt1.1 |	MIT	|WICC4D|	part of libxslt|	NA
libxss1 |	 MIT	|WICC4D CLI|	NA|	NA
libxt-dev |	 MIT	|WICC4D CLI|	NA|	NA
libyaml-0-2 |	MIT	|WICC4D CLI|	NA|	NA
libzzip-0-13 |	zzip	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/z/zziplib/zziplib_0.13.62-3/copyright
linux-libc-dev |	 BSD-3-Clause	|WICC4D CLI|	NA|	NA
m4 |	GPL-3	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/m/m4/m4_1.4.17-5/copyright
manpages |	GPL-2+, BSD-3-clause, BSD-4-clause, BSD-4-clause and verbatim, Expat, GPL-2, GPL-2+ and verbatim, LDPv1, freely-redistributable, henry-spencer-regex, public-domain, verbatim	|ubuntu.com|	Here all licenses are required as different manpages are available under different Licenses|	http://changelogs.ubuntu.com/changelogs/pool/main/m/manpages/manpages_4.04-2/copyright
manpages-dev |	GPL-2+, BSD-3-clause, BSD-4-clause, BSD-4-clause and verbatim, Expat, GPL-2, GPL-2+ and verbatim, LDPv1, freely-redistributable, henry-spencer-regex, public-domain, verbatim	|ubuntu.com|	Here all licenses are required as different manpages are available under different Licenses|	http://changelogs.ubuntu.com/changelogs/pool/main/m/manpages/manpages_4.04-2/copyright
mesa-common-dev |	 MIT	|WICC4D|	NA|	NA
module-init-tools |	LGPL-2.1+	|openhub.net|	NA|	https://www.openhub.net/p/kmod
ocaml |	LGPL-2.1	|Official Page|	NA|	https://caml.inria.fr/ocaml/license.en.html
ocaml-base |	LGPL-2.1	|Official Page|	NA|	https://caml.inria.fr/ocaml/license.en.html
ocaml-base-nox |	LGPL-2.1	|Official Page|	NA|	https://caml.inria.fr/ocaml/license.en.html
ocaml-compiler-libs |	LGPL-2.1	|Official Page|	NA|	https://caml.inria.fr/ocaml/license.en.html
ocaml-findlib |	LGPL-2.1	|Official Page|	NA|	https://caml.inria.fr/ocaml/license.en.html
ocaml-interp |	LGPL-2.1	|Official Page|	NA|	https://caml.inria.fr/ocaml/license.en.html
ocaml-nox |	LGPL-2.1	|Official Page|	NA|	https://caml.inria.fr/ocaml/license.en.html
openssl |	BSD-4-Clause	|WICC4D|	part of openssl |	NA
pkg-config |	GPL-2.0+	|openhub.net|	https://www.openhub.net/p/pkg-config|	NA
poppler-data |	 BSD-3-Clause	|WICC4D CLI|	NA|	NA
preview-latex-style |	GPL-3+	|debian.org|	NA|	http://metadata.ftp-master.debian.org/changelogs/main/a/auctex/auctex_11.90-1_copyright
python |	 MIT,Python-2.0	|WICC4D CLI|	NA|	NA
python2.7 |	Apache-2.0	|WICC4D|	NA|	NA
python2.7-minimal |	Apache-2.0	|WICC4D|	NA|	NA
python-dateutil |	 Python-2.0	|WICC4D CLI|	NA|	NA
python-matplotlib |	 BSD-3-Clause,MIT	|WICC4D CLI|	NA|	NA
python-matplotlib-data |	 BSD-3-Clause,MIT	|WICC4D CLI|	NA|	NA
python-minimal |	 MIT,Python-2.0	|WICC4D CLI|	NA|	NA
python-numpy |	 BSD-2-Clause,BSD-3-Clause,MIT,Python-2.0	|WICC4D CLI|	NA|	NA
python-pip |	MIT-Equivalent	|WICC4D|	NA|	NA
python-pkg-resources |	 Python-2.0	|WICC4D CLI|	NA|	NA
python-pyparsing |	 MIT	|WICC4D CLI|	NA|	NA
python-six |	 MIT	|WICC4D CLI|	NA|	NA
python-tz |	 MIT	|WICC4D CLI|	NA|	NA
rake |	 MIT	|WICC4D CLI|	NA|	NA
ruby |	Ruby	|WICC4D|	NA|	NA
ruby2.3 |	 BSD-3-Clause,MIT,Ruby,Zlib	|WICC4D CLI|	NA|	NA
ruby-did-you-mean |	 MIT	|WICC4D CLI|	NA|	NA
rubygems-integration |	MIT	|WICC4D CLI|	NA|	NA
ruby-minitest |	 MIT	|WICC4D CLI|	NA|	NA
ruby-net-telnet |	 Ruby	|WICC4D CLI|	NA|	NA
ruby-power-assert |	 BSD-2-Clause	|WICC4D CLI|	NA|	NA
ruby-test-unit |	 BSD-2-Clause	|WICC4D CLI|	NA|	NA
scandir |	BSD-Equivalent	|WICC4D |	NA|	NA
tex-common |	     LaTeX Project Public License, GPL-2	|Other|	part of texlive|	NA
texlive-base |	     LaTeX Project Public License, GPL-3	|Other|	part of texlive|	NA
texlive-binaries |	     LaTeX Project Public License, GPL-4	|Other|	part of texlive|	NA
texlive-latex-base |	     LaTeX Project Public License, GPL-5	|Other|	part of texlive|	NA
texlive-latex-extra |	     LaTeX Project Public License, GPL-6	|Other|	part of texlive|	NA
texlive-latex-recommended |	     LaTeX Project Public License, GPL-7	|Other|	part of texlive|	NA
texlive-pictures |	     LaTeX Project Public License, GPL-8	|Other|	part of texlive|	NA
ucf |	GPL v2	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/u/ucf/ucf_3.0036/copyright
unzip |	BSD-Equivalent	|WICC4D|	NA|	NA
x11proto-core-dev |	MIT	|WICC4D CLI|	NA|	NA
x11proto-dri2-dev |	MIT	|WICC4D|	NA|	NA
x11proto-dri3-dev |	 MIT	|WICC4D|	NA|	NA
x11proto-fonts-dev |	 MIT	|WICC4D|	NA|	NA
x11proto-gl-dev |	 MIT	|WICC4D|	NA|	NA
x11proto-input-dev |	MIT	|WICC4D CLI|	NA|	NA
x11proto-kb-dev |	MIT	|WICC4D CLI|	NA|	NA
x11proto-present-dev |	 MIT	|WICC4D|	NA|	NA
x11proto-randr-dev |	 MIT	|WICC4D|	NA|	NA
x11proto-render-dev |	 MIT	|WICC4D|	NA|	NA
x11proto-resource-dev |	 MIT	|WICC4D|	NA|	NA
x11proto-scrnsaver-dev |	 MIT	|WICC4D|	NA|	NA
x11proto-video-dev |	 MIT	|WICC4D|	NA|	NA
x11proto-xext-dev |	 MIT	|WICC4D|	NA|	NA
x11proto-xf86bigfont-dev |	 MIT	|WICC4D|	NA|	NA
x11proto-xf86dri-dev |	 MIT	|WICC4D|	NA|	NA
x11proto-xinerama-dev |	 MIT	|WICC4D|	NA|	NA
xdg-utils |	 MIT	|WICC4D CLI|	NA|	NA
xorg-sgml-doctools |	MIT	|WICC4D CLI|	NA|	NA
xserver-xorg-dev |	 BSD-3-Clause,MIT	|WICC4D|	NA|	NA
xtrans-dev |	MIT	|WICC4D CLI|	NA|	NA
yodl |	GPL-2	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/universe/y/yodl/yodl_3.06.00-1/copyright
zip |	BSD-Equivalent	|WICC4D|	NA|	NA
zlib1g-dev |	 Zlib	|WICC4D|	NA|	NA
acl |	GPL-2.0+, LGPL-2.1	|WICC4D|	Version 2.2.49 is GPL and LGPL-2.0, version 7.x-1.1 is GPL-2.0|	NA
adwaita-icon-theme |	 LGPL-3, GPL-unspecified, GFDL-1.2+ CC-BY-3.0-US, CC-BY-SA-3.0-Unported	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/a/adwaita-icon-theme/adwaita-icon-theme_3.18.0-2ubuntu3/copyright
alex |	BSD-style	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/universe/a/alex/alex_3.1.6-1/copyright
Alfresco |	LGPL-3.0+	|openhub.net|	NA|	https://www.openhub.net/p/alfresco/licenses
amqp |	LGPL-2.1	|WICC4D|	NA|	NA
Ansible |	GPL-3	|WICC4D|	NA|	NA
ant |	Apache-2.0	|WICC4D|	NA|	NA
ant-contrib |	Apache-2.0	|openhub.net|	NA|	https://www.openhub.net/p?query=ant-contrib&sort=relevance
antlr |	BSD-3-Clause	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/a/antlr/antlr_2.7.7+dfsg-6ubuntu1/copyright
ant-optional |	Apache-2.0	|WICC4D|	part of  Apache Ant|	NA
apache-maven |	Apache-2.0	|WICC4D|	Apache Maven on WICC4D|	NA
apparmor |	GPL-2.0	|WICC4D|	NA|	NA
apparmor-utils |	GPL-2	|WICC4D|	part of apparmor|	NA
appdirs-1.4.3 |	MIT	|WICC4D|	part of appdirs|	NA
apt-transport-https |	GPL-2.0+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/a/apt/apt_1.2.10ubuntu1/copyright
apt-utils |	 GPL-2.0	|WICC4D|	part of apt|	NA
at-spi2-core |	LGPL-2+, Public domain, GPL-2	|ubuntu.com|	Different files are licensed differently. For example, Files: registryd/ucs2keysym.c are under Public domain, Files: registryd/display.c registryd/event-source.c are under LGPL-2 and so on|	http://changelogs.ubuntu.com/changelogs/pool/main/a/at-spi2-core/at-spi2-core_2.18.3-4ubuntu1/copyright
authbind |	GPL-2.0	|WICC4D|	NA|	NA
autoconf |	GPL-2	|WICC4D|	NA|	NA
automake |	GPL-2	|WICC4D|	NA|	NA
autoprefixer |	MIT-Equivalent	|WICC4D|	NA|	NA
autotools-dev |	GPL-2	|WICC4D|	part of autotools|	NA
backports.weakref |	Python-2.0	|WICC4D |	NA|	NA
bazel |	Apache-2.0	|WICC4D|	NA|	NA
billiard  |	BSD-Equivalent	|WICC4D|	NA|	NA
binutils |	GPL-2	|WICC4D|	NA|	NA
bleach |	Apache 2.0	|WICC4D |	NA|	NA
bonita BPM Portal |	GPL2	|openhub.net|	NA|	https://www.openhub.net/p/bonitabpm
boost_1_50_0.tar.bz2 |	boost	|source code|	http://sourceforge.net/projects/boost/files/boost/1.50.0/boost_1_50_0.tar.bz2/download?use_mirror=autoselect|	http://www.boost.org/users/history/version_1_50_0.html
bsdmainutils |	BSD License	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/b/bsdmainutils/bsdmainutils_9.0.6ubuntu3/copyright
build-essential |	GPL-2+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/b/build-essential/build-essential_12.1ubuntu2/copyright
busybox-initramfs |	GPL-2.0	|openhub.net|	NA|	https://www.openhub.net/p/busybox
bzip2 |	BSD-4-Clause	|WICC4D|	NA|	NA
ca-certificates |	GPL-2+, MPL-2.0	|ubuntu.com|	Different files are licensed differently. Example: Files: mozilla/certdata.txt           mozilla/nssckbi.h are license under MPL 2.0|	http://changelogs.ubuntu.com/changelogs/pool/main/c/ca-certificates/ca-certificates_20160104ubuntu1/copyright
ca-certificates-java |	GPL	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/c/ca-certificates-java/ca-certificates-java_20160321/copyright
cadvisor |	Apache-2.0	|WICC4D|	NA|	NA
Casandra  |	Apache-2.0	|WICC4D UI|	NA|	NA
cdbs |	GPL-2, GPL-3, GAP, Expat	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/c/cdbs/cdbs_0.4.130ubuntu2/copyright
celery  |	BSD-Equivalent	|WICC4D|	NA|	NA
